date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:59	74/74	---MCZ	200	added ('OK')	text/plain	etag:W/%22248b0f2a9f0cc255712c8eb1fd181e47%22	https://napchaivietthai.com.vn/robots.txt		(from )
20:14:00	308455/308455	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2012:28:57%20GMT	https://napchaivietthai.com.vn/	C:/My%20Web%20Sites/code/napchaivietthai.com.vn/index.html	(from )
20:14:01	4639/4639	---M-Z	200	added ('OK')	application/javascript	etag:%22fcf2fce276de2e2eb489d5aef6d9c1a4%22	https://napchaivietthai.com.vn/cdn-cgi/apps/head/_keZryxMpn5m_yo9S1JFrUnLbHs.js	C:/My%20Web%20Sites/code/napchaivietthai.com.vn/cdn-cgi/apps/head/_keZryxMpn5m_yo9S1JFrUnLbHs.js	(from https://napchaivietthai.com.vn/)
20:14:04	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22609aa511-302c%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/code/ajax.cloudflare.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://napchaivietthai.com.vn/)
20:14:05	503104/503104	---M--	200	added ('OK')	image/png	etag:%223ad2a0506c198c025f0f135b15542da4%22	https://assets.zyrosite.com/A8576OQ756ujLrWl/LOGO-dWxPy7D8QOc6krRl.png	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/LOGO-dWxPy7D8QOc6krRl.png	(from https://napchaivietthai.com.vn/)
20:14:06	503104/503104	---M--	200	added ('OK')	image/png	etag:%223ad2a0506c198c025f0f135b15542da4%22	https://zyroassets.s3.us-east-2.amazonaws.com/_SITE-ASSETS/A8576OQ756ujLrWl/favicon.png	C:/My%20Web%20Sites/code/zyroassets.s3.us-east-2.amazonaws.com/_SITE-ASSETS/A8576OQ756ujLrWl/favicon.png	(from https://napchaivietthai.com.vn/)
20:14:06	270579/270579	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2012:28:57%20GMT	https://napchaivietthai.com.vn/gioi-thieu	C:/My%20Web%20Sites/code/napchaivietthai.com.vn/gioi-thieu.html	(from https://napchaivietthai.com.vn/)
20:14:07	310568/310568	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2012:28:57%20GMT	https://napchaivietthai.com.vn/nap-nhom	C:/My%20Web%20Sites/code/napchaivietthai.com.vn/nap-nhom.html	(from https://napchaivietthai.com.vn/)
20:14:08	271802/271802	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2012:28:57%20GMT	https://napchaivietthai.com.vn/nap-bi-nhua	C:/My%20Web%20Sites/code/napchaivietthai.com.vn/nap-bi-nhua.html	(from https://napchaivietthai.com.vn/)
20:14:08	266468/266468	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2012:28:57%20GMT	https://napchaivietthai.com.vn/nap-thu-y	C:/My%20Web%20Sites/code/napchaivietthai.com.vn/nap-thu-y.html	(from https://napchaivietthai.com.vn/)
20:14:09	320549/320549	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2012:28:57%20GMT	https://napchaivietthai.com.vn/nap-vien-chan	C:/My%20Web%20Sites/code/napchaivietthai.com.vn/nap-vien-chan.html	(from https://napchaivietthai.com.vn/)
20:14:09	109482/109482	---M--	200	added ('OK')	image/jpeg	etag:%22cfUuIMb07clGSVf3JnuNr8bQ:40c374d8cd76f969ab02d60375b6452e%22	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=1016,h=560,fit=crop/A8576OQ756ujLrWl/Untitled-m5KOWzNjr0H7vWEr.jpg	C:/My%20Web%20Sites/code/assets.zyrosite.com/cdn-cgi/image/format=auto,w=1016,h=560,fit=crop/A8576OQ756ujLrWl/Untitled-m5KOWzNjr0H7vWEr.jpg	(from https://napchaivietthai.com.vn/)
20:14:09	9147/9147	---M--	200	added ('OK')	image/png	etag:%22cf78_6pDYxpOkgII6LbiiqOA:3c8d5dd7209baf38bb5e5bdb764e58e3%22	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=306,h=192,fit=scale-down/A8576OQ756ujLrWl/napnhom-YBgV1oEZ1ESRZL3Z.png	C:/My%20Web%20Sites/code/assets.zyrosite.com/cdn-cgi/image/format=auto,w=306,h=192,fit=scale-down/A8576OQ756ujLrWl/napnhom-YBgV1oEZ1ESRZL3Z.png	(from https://napchaivietthai.com.vn/)
20:14:10	295105/295105	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2012:28:57%20GMT	https://napchaivietthai.com.vn/mang-seal	C:/My%20Web%20Sites/code/napchaivietthai.com.vn/mang-seal.html	(from https://napchaivietthai.com.vn/)
20:14:10	114987/114987	---M--	200	added ('OK')	image/jpeg	etag:%2282cca021ff48ee46cb262e98c6d8a7dc%22	https://assets.zyrosite.com/A8576OQ756ujLrWl/min-YZ9PxOGDMRsE5B9b.JPG	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/min-YZ9PxOGDMRsE5B9b.jpg	(from https://napchaivietthai.com.vn/)
20:14:10	138435/138435	---M--	200	added ('OK')	image/png	etag:%226d2a6ff41b1de844765a8409c72ee2c4%22	https://assets.zyrosite.com/A8576OQ756ujLrWl/LOGO-min-AQE0D2ryGlu39M98.png	C:/My%20Web%20Sites/code/assets.zyrosite.com/A8576OQ756ujLrWl/LOGO-min-AQE0D2ryGlu39M98.png	(from https://napchaivietthai.com.vn/)
